DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID5020948,"5-(5-Nitro-2-furyl)-1,3,4-oxadiazole-2-ol",2122-86-3,OWDANLZJJOCPBK-UHFFFAOYSA-N,"5-(5-Nitrofuran-2-yl)-1,3,4-oxadiazol-2-ol",OC1=NN=C(O1)C1=CC=C(O1)[N+]([O-])=O,"InChI=1S/C6H3N3O5/c10-6-8-7-5(14-6)3-1-2-4(13-3)9(11)12/h1-2H,(H,8,10)",C6H3N3O5,197.106,197.0072702,23,-,28,-
DTXSID5021093,Oxprenolol hydrochloride,6452-73-9,COAJXCLTPGGDAJ-UHFFFAOYSA-N,1-[(Propan-2-yl)amino]-3-{2-[(prop-2-en-1-yl)oxy]phenoxy}propan-2-ol--hydrogen chloride (1/1),Cl.CC(C)NCC(O)COC1=CC=CC=C1OCC=C,"InChI=1/C15H23NO3.ClH/c1-4-9-18-14-7-5-6-8-15(14)19-11-13(17)10-16-12(2)3;/h4-8,12-13,16-17H,1,9-11H2,2-3H3;1H",C15H24ClNO3,301.81,301.1444713,27,1003,55,5
DTXSID5021097,Oxytetracycline hydrochloride,2058-46-0,UBDNTYUBJLXUNN-IFLJXUKPSA-N,"(4S,4aR,5S,5aR,6S,12aS)-4-(Dimethylamino)-3,5,6,10,12,12a-hexahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide--hydrogen chloride (1/1)",Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,"InChI=1S/C22H24N2O9.ClH/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29;/h4-6,12-14,17,25,27-29,32-33H,1-3H3,(H2,23,31);1H/t12-,13-,14+,17+,21-,22+;/m1./s1",C22H25ClN2O9,496.9,496.1248581,55,6050,60,32
DTXSID5021120,Phenethyl isothiocyanate,2257-09-2,IZJDOKYDEWTZSO-UHFFFAOYSA-N,(2-Isothiocyanatoethyl)benzene,S=C=NCCC1=CC=CC=C1,"InChI=1S/C9H9NS/c11-8-10-7-6-9-4-2-1-3-5-9/h1-5H,6-7H2",C9H9NS,163.24,163.0455705,50,372,90,4
DTXSID5021122,Phenobarbital,50-06-6,DDBREPKUVSBGFI-UHFFFAOYSA-N,"5-Ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,"InChI=1S/C12H12N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",C12H12N2O3,232.239,232.0847923,83,18244,98,23
DTXSID5021124,Phenol,108-95-2,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Phenol,OC1=CC=CC=C1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",C6H6O,94.113,94.04186481,151,4884,471,561
DTXSID5021126,Phenothiazine,92-84-2,WJFKNYWRSNBZNX-UHFFFAOYSA-N,10H-Phenothiazine,N1C2=CC=CC=C2SC2=C1C=CC=C2,"InChI=1S/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",C12H9NS,199.27,199.0455705,86,2474,156,116
DTXSID5021128,"1-Phenyl-3,3-dimethyltriazene",7227-91-0,LLROQAGEAVDYFP-UHFFFAOYSA-N,"3,3-Dimethyl-1-phenyltriaz-1-ene",CN(C)N=NC1=CC=CC=C1,"InChI=1S/C8H11N3/c1-11(2)10-9-8-6-4-3-5-7-8/h3-7H,1-2H3",C8H11N3,149.197,149.0952974,34,25,42,-
DTXSID5021170,Piroxicam,36322-90-4,QYSPLQLAKJAUJT-UHFFFAOYSA-N,"4-Hydroxy-2-methyl-1,1-dioxo-N-(pyridin-2-yl)-1,2-dihydro-1lambda~6~,2-benzothiazine-3-carboxamide",CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,"InChI=1S/C15H13N3O4S/c1-18-13(15(20)17-12-8-4-5-9-16-12)14(19)10-6-2-3-7-11(10)23(18,21)22/h2-9,19H,1H3,(H,16,17,20)",C15H13N3O4S,331.35,331.0626771,47,2611,242,9
DTXSID5021174,Polybrominated biphenyls (PBB),59536-65-1,-,-,"[*]C1=C([*])C([*])=C(C([*])=C1[*])C1=C([*])C([*])=C([*])C([*])=C1[*] |$_R1;;;_R1;;_R1;;;_R1;;_R1;;;_R1;;_R1;;_R1;;_R1;;_R1$,c:1,5,8,12,20,t:16,RG:_R1={Br* |$;_AP1$,lp:0:3|},LOG={_R1:;H;>0}|",-,-,-,-,27,2099,-,7
DTXSID5021201,Propyl gallate,121-79-9,ZTHYODDOHIVTJV-UHFFFAOYSA-N,"Propyl 3,4,5-trihydroxybenzoate",CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C10H12O5/c1-2-3-15-10(14)6-4-7(11)9(13)8(12)5-6/h4-5,11-13H,2-3H2,1H3",C10H12O5,212.201,212.0684735,76,382,118,38
DTXSID5021209,6-Propyl-2-thiouracil,51-52-5,KNAHARQHSZJURB-UHFFFAOYSA-N,"6-Propyl-2-sulfanylidene-2,3-dihydropyrimidin-4(1H)-one",CCCC1=CC(=O)NC(=S)N1,"InChI=1S/C7H10N2OS/c1-2-3-5-4-6(10)9-7(11)8-5/h4H,2-3H2,1H3,(H2,8,9,10,11)",C7H10N2OS,170.23,170.0513841,94,4045,220,7
DTXSID5021251,Saccharin,81-07-2,CVHZOJJKTDOEJC-UHFFFAOYSA-N,"1H-1lambda~6~,2-Benzothiazole-1,1,3(2H)-trione",O=C1NS(=O)(=O)C2=C1C=CC=C2,"InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)",C7H5NO3S,183.18,182.9990142,86,2718,192,107
DTXSID5021253,Sodium saccharin,128-44-9,WINXNKPZLFISPD-UHFFFAOYSA-M,"Sodium 1,1,3-trioxo-1,3-dihydro-1lambda~6~,2-benzothiazol-2-ide",[Na+].O=C1[N-]S(=O)(=O)C2=CC=CC=C12,"InChI=1S/C7H5NO3S.Na/c9-7-5-3-1-2-4-6(5)12(10,11)8-7;/h1-4H,(H,8,9);/q;+1/p-1",C7H4NNaO3S,205.16,204.9809585,50,2718,43,117
DTXSID5021255,Albuterol,18559-94-9,NDAUXUAQIAJITI-UHFFFAOYSA-N,4-[2-(tert-Butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,"InChI=1/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",C13H21NO3,239.315,239.1521435,63,9126,184,25
DTXSID5021330,Tetrakis(hydroxymethyl)phosphonium chloride,124-64-1,AKXUUJCMWZFYMV-UHFFFAOYSA-M,Tetrakis(hydroxymethyl)phosphanium chloride,[Cl-].OC[P+](CO)(CO)CO,"InChI=1S/C4H12O4P.ClH/c5-1-9(2-6,3-7)4-8;/h5-8H,1-4H2;1H/q+1;/p-1",C4H12ClO4P,190.56,190.0161736,49,24,55,6
DTXSID5021332,Thiram,137-26-8,KUAZQDVKQLNFPE-UHFFFAOYSA-N,-,CN(C)C(=S)SSC(=S)N(C)C,InChI=1S/C6H12N2S4/c1-7(2)5(9)11-12-6(10)8(3)4/h1-4H3,C6H12N2S4,240.42,239.9883331,119,548,156,137
DTXSID5021334,Tetranitromethane,509-14-8,NYTOUQBROMCLBJ-UHFFFAOYSA-N,Tetranitromethane,[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,"InChI=1S/CN4O8/c6-2(7)1(3(8)9,4(10)11)5(12)13",CN4O8,196.031,195.971613,60,402,51,-
DTXSID5021336,Theophylline,58-55-9,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,"1,3-Dimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C2=C(NC=N2)C(=O)N(C)C1=O,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",C7H8N4O2,180.167,180.0647255,96,23311,272,29
DTXSID5021338,Thiamphenicol,15318-45-3,OTVAEFIXJLOWRX-NXEZZACHSA-N,"2,2-Dichloro-N-{(1R,2R)-1,3-dihydroxy-1-[4-(methanesulfonyl)phenyl]propan-2-yl}acetamide",CS(=O)(=O)C1=CC=C(C=C1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,"InChI=1S/C12H15Cl2NO5S/c1-21(19,20)8-4-2-7(3-5-8)10(17)9(6-16)15-12(18)11(13)14/h2-5,9-11,16-17H,6H2,1H3,(H,15,18)/t9-,10-/m1/s1",C12H15Cl2NO5S,356.21,355.0047992,50,746,119,5
DTXSID5021380,"1,1,2-Trichloroethane",79-00-5,UBOXGVDOUJQMTN-UHFFFAOYSA-N,"1,1,2-Trichloroethane",ClCC(Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",C2H3Cl3,133.4,131.9300332,110,45,98,18
DTXSID5021384,Trichlorofluoromethane,75-69-4,CYRMSUTZVYGINF-UHFFFAOYSA-N,Trichloro(fluoro)methane,FC(Cl)(Cl)Cl,"InChI=1S/CCl3F/c2-1(3,4)5",CCl3F,137.36,135.9049613,76,38,66,28
DTXSID5021386,"2,4,6-Trichlorophenol",88-06-2,LINPIYWFGCPVIE-UHFFFAOYSA-N,"2,4,6-Trichlorophenol",OC1=C(Cl)C=C(Cl)C=C1Cl,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H",C6H3Cl3O,197.44,195.9249478,104,267,127,14
DTXSID5021388,"2,4,5-Trichlorophenoxyacetic acid",93-76-5,SMYMJHWAQXWPDB-UHFFFAOYSA-N,"(2,4,5-Trichlorophenoxy)acetic acid",OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C8H5Cl3O3/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13/h1-2H,3H2,(H,12,13)",C8H5Cl3O3,255.48,253.9304271,98,808,110,44
DTXSID5021411,Tris(2-chloroethyl) phosphate,115-96-8,HQUQLFOMPYWACS-UHFFFAOYSA-N,Tris(2-chloroethyl) phosphate,ClCCOP(=O)(OCCCl)OCCCl,"InChI=1S/C6H12Cl3O4P/c7-1-4-11-14(10,12-5-2-8)13-6-3-9/h1-6H2",C6H12Cl3O4P,285.48,283.953879,103,207,85,51
DTXSID5021413,"Tris(2,3-dibromopropyl) phosphate",126-72-7,PQYJRMFWJJONBO-UHFFFAOYSA-N,"Tris(2,3-dibromopropyl) phosphate",BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr,"InChI=1/C9H15Br6O4P/c10-1-7(13)4-17-20(16,18-5-8(14)2-11)19-6-9(15)3-12/h7-9H,1-6H2",C9H15Br6O4P,697.613,691.580824,72,167,43,7
DTXSID5021415,Triisopropanolamine,122-20-3,SLINHMUFWFWBMU-UHFFFAOYSA-N,"1,1',1''-Nitrilotri(propan-2-ol)",CC(O)CN(CC(C)O)CC(C)O,"InChI=1/C9H21NO3/c1-7(11)4-10(5-8(2)12)6-9(3)13/h7-9,11-13H,4-6H2,1-3H3",C9H21NO3,191.271,191.1521435,72,3,57,166
DTXSID5021419,l-Tryptophan,73-22-3,QIVBCDIJIAJPQS-VIFPVBQESA-N,L-Tryptophan,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",C11H12N2O2,204.229,204.0898776,67,30098,259,27
DTXSID5021461,Zinc(II) acetate dihydrate,5970-45-6,BEAZKUGSCHFXIQ-UHFFFAOYSA-L,Zinc acetate--water (1/2/2),O.O.[Zn++].CC([O-])=O.CC([O-])=O,"InChI=1S/2C2H4O2.2H2O.Zn/c2*1-2(3)4;;;/h2*1H3,(H,3,4);2*1H2;/q;;;;+2/p-2",C4H10O6Zn,219.5,217.97688,27,210,36,-
DTXSID5021463,Zinc diethyldithiocarbamate,14324-55-1,RKQOSDAEEGPRER-UHFFFAOYSA-L,Zinc bis(diethylcarbamodithioate),[Zn++].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,"InChI=1S/2C5H11NS2.Zn/c2*1-3-6(4-2)5(7)8;/h2*3-4H2,1-2H3,(H,7,8);/q;;+2/p-2",C10H20N2S4Zn,361.9,359.980075,41,1778,35,28
DTXSID5021544,2-Chlorophenol,95-57-8,ISPYQTSUDJAMAB-UHFFFAOYSA-N,2-Chlorophenol,OC1=CC=CC=C1Cl,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",C6H5ClO,128.56,128.0028925,99,3214,128,5
DTXSID5021546,3-Chloropropanoic acid,107-94-8,QEYMMOKECZBKAC-UHFFFAOYSA-N,3-Chloropropanoic acid,OC(=O)CCCl,"InChI=1S/C3H5ClO2/c4-2-1-3(5)6/h1-2H2,(H,5,6)",C3H5ClO2,108.52,107.9978071,44,11,88,2
DTXSID5021590,Dodecanoic acid,143-07-7,POULHZVOKOAJMA-UHFFFAOYSA-N,Dodecanoic acid,CCCCCCCCCCCC(O)=O,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",C12H24O2,200.322,200.17763,90,712,188,5051
DTXSID5021598,Heptanedioic acid,111-16-0,WLJVNTCWHIRURA-UHFFFAOYSA-N,Heptanedioic acid,OC(=O)CCCCCC(O)=O,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)",C7H12O4,160.169,160.0735589,49,453,118,10
DTXSID5021621,2-Methylbutanoic acid,116-53-0,WLAMNBDJUVNPJU-UHFFFAOYSA-N,2-Methylbutanoic acid,CCC(C)C(O)=O,"InChI=1/C5H10O2/c1-3-4(2)5(6)7/h4H,3H2,1-2H3,(H,6,7)",C5H10O2,102.133,102.0680796,69,68,130,17
DTXSID5021623,2-Methyldecanal,19009-56-4,LBICMZLDYMBIGA-UHFFFAOYSA-N,2-Methyldecanal,CCCCCCCCC(C)C=O,"InChI=1/C11H22O/c1-3-4-5-6-7-8-9-11(2)10-12/h10-11H,3-9H2,1-2H3",C11H22O,170.296,170.1670653,30,-,33,17
DTXSID5021627,5-Methyl-2-furancarboxylic acid,1917-15-3,OVOCLWJUABOAPL-UHFFFAOYSA-N,5-Methylfuran-2-carboxylic acid,CC1=CC=C(O1)C(O)=O,"InChI=1S/C6H6O3/c1-4-2-3-5(9-4)6(7)8/h2-3H,1H3,(H,7,8)",C6H6O3,126.111,126.0316941,29,-,103,2
DTXSID5021629,6-Methyl-5-hepten-2-one,110-93-0,UHEPJGULSIKKTP-UHFFFAOYSA-N,6-Methylhept-5-en-2-one,CC(C)=CCCC(C)=O,"InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3",C8H14O,126.199,126.1044651,66,26,98,33
DTXSID5021671,"2,2,2-Trichloroacetamide",594-65-0,UPQQXPKAYZYUKO-UHFFFAOYSA-N,"2,2,2-Trichloroacetamide",NC(=O)C(Cl)(Cl)Cl,"InChI=1S/C2H2Cl3NO/c3-2(4,5)1(6)7/h(H2,6,7)",C2H2Cl3NO,162.39,160.9201968,39,85,82,2
DTXSID5021679,"1,1,1-Trichloropropanone",918-00-3,SMZHKGXSEAGRTI-UHFFFAOYSA-N,"1,1,1-Trichloropropan-2-one",CC(=O)C(Cl)(Cl)Cl,"InChI=1S/C3H3Cl3O/c1-2(7)3(4,5)6/h1H3",C3H3Cl3O,161.41,159.9249478,29,8,55,4
DTXSID5021708,Sodium salicylate,54-21-7,ABBQHOQBGMUPJH-UHFFFAOYSA-M,Sodium 2-hydroxybenzoate,[Na+].OC1=C(C=CC=C1)C([O-])=O,"InChI=1S/C7H6O3.Na/c8-6-4-2-1-3-5(6)7(9)10;/h1-4,8H,(H,9,10);/q;+1/p-1",C7H5NaO3,160.104,160.0136383,50,1947,107,715
DTXSID5021752,"3,3-Dimethyl-2-butanone",75-97-8,PJGSXYOJTGTZAV-UHFFFAOYSA-N,"3,3-Dimethylbutan-2-one",CC(=O)C(C)(C)C,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",C6H12O,100.161,100.088815,54,13,97,5
DTXSID5021754,"5,5-Dimethylhydantoin",77-71-4,YIROYDNZEPTFOL-UHFFFAOYSA-N,"5,5-Dimethylimidazolidine-2,4-dione",CC1(C)NC(=O)NC1=O,"InChI=1S/C5H8N2O2/c1-5(2)3(8)6-4(9)7-5/h1-2H3,(H2,6,7,8,9)",C5H8N2O2,128.131,128.0585775,69,15,98,39
DTXSID5021756,3-Methyl-1-pentyn-3-ol,77-75-8,QXLPXWSKPNOQLE-UHFFFAOYSA-N,3-Methylpent-1-yn-3-ol,CCC(C)(O)C#C,"InChI=1/C6H10O/c1-4-6(3,7)5-2/h1,7H,5H2,2-3H3",C6H10O,98.145,98.07316494,50,62,72,6
DTXSID5021758,Tris(2-butoxyethyl) phosphate,78-51-3,WTLBZVNBAKMVDP-UHFFFAOYSA-N,Tris(2-butoxyethyl) phosphate,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,"InChI=1S/C18H39O7P/c1-4-7-10-20-13-16-23-26(19,24-17-14-21-11-8-5-2)25-18-15-22-12-9-6-3/h4-18H2,1-3H3",C18H39O7P,398.477,398.2433406,89,31,71,147
DTXSID5021831,3-Nitrotoluene,99-08-1,QZYHIOPPLUPUJF-UHFFFAOYSA-N,1-Methyl-3-nitrobenzene,CC1=CC(=CC=C1)[N+]([O-])=O,"InChI=1S/C7H7NO2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3",C7H7NO2,137.138,137.0476785,89,33,118,-
DTXSID5021835,4-Dimethylaminobenzaldehyde,100-10-7,BGNGWHSBYQYVRX-UHFFFAOYSA-N,4-(Dimethylamino)benzaldehyde,CN(C)C1=CC=C(C=O)C=C1,"InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3",C9H11NO,149.193,149.084064,50,65,133,8
DTXSID5021837,"N,N-Diethylethanolamine",100-37-8,BFSVOASYOCHEOV-UHFFFAOYSA-N,2-(Diethylamino)ethan-1-ol,CCN(CC)CCO,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3",C6H15NO,117.192,117.1153641,86,234,101,168
DTXSID5021839,Benzylamine,100-46-9,WGQKYBSKWIADBV-UHFFFAOYSA-N,1-Phenylmethanamine,NCC1=CC=CC=C1,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",C7H9N,107.156,107.0734993,68,5343,196,6
DTXSID5021881,Ethylenediamine,107-15-3,PIICEJLVQHRZGT-UHFFFAOYSA-N,"Ethane-1,2-diamine",NCCN,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,C2H8N2,60.1,60.06874827,94,745,222,420
DTXSID5021883,Propargyl alcohol,107-19-7,TVDSBUOJIPERQY-UHFFFAOYSA-N,Prop-2-yn-1-ol,OCC#C,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",C3H4O,56.064,56.02621475,86,232,79,65
DTXSID5021885,"2-Methyl-2,4-pentanediol",107-41-5,SVTBMSDMJJWYQN-UHFFFAOYSA-N,"2-Methylpentane-2,4-diol",CC(O)CC(C)(C)O,"InChI=1/C6H14O2/c1-5(7)4-6(2,3)8/h5,7-8H,4H2,1-3H3",C6H14O2,118.176,118.0993797,80,83,91,612
DTXSID5021889,4-Methyl-2-pentanone,108-10-1,NTIZESTWPVYFNL-UHFFFAOYSA-N,4-Methylpentan-2-one,CC(C)CC(C)=O,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",C6H12O,100.161,100.088815,104,98,173,428
DTXSID5021910,Pyrrole,109-97-7,KAESVJOAVNADME-UHFFFAOYSA-N,1H-Pyrrole,N1C=CC=C1,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,C4H5N,67.091,67.04219917,58,3184,330,11
DTXSID5021914,5-Methyl-2-hexanone,110-12-3,FFWSICBKRCICMR-UHFFFAOYSA-N,5-Methylhexan-2-one,CC(C)CCC(C)=O,"InChI=1S/C7H14O/c1-6(2)4-5-7(3)8/h6H,4-5H2,1-3H3",C7H14O,114.188,114.1044651,74,1,73,60
DTXSID5021916,2-Heptanone,110-43-0,CATSNJVOTSVZJV-UHFFFAOYSA-N,Heptan-2-one,CCCCCC(C)=O,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",C7H14O,114.188,114.1044651,86,61,106,93
DTXSID5021962,N-Phenyldiethanolamine,120-07-0,OJPDDQSCZGTACX-UHFFFAOYSA-N,"2,2'-(Phenylazanediyl)di(ethan-1-ol)",OCCN(CCO)C1=CC=CC=C1,"InChI=1S/C10H15NO2/c12-8-6-11(7-9-13)10-4-2-1-3-5-10/h1-5,12-13H,6-9H2",C10H15NO2,181.235,181.1102787,44,-,77,8
DTXSID5021968,3-Ethoxy-4-hydroxybenzaldehyde,121-32-4,CBOQJANXLMLOSS-UHFFFAOYSA-N,3-Ethoxy-4-hydroxybenzaldehyde,CCOC1=C(O)C=CC(C=O)=C1,"InChI=1S/C9H10O3/c1-2-12-9-5-7(6-10)3-4-8(9)11/h3-6,11H,2H2,1H3",C9H10O3,166.176,166.0629942,85,28,119,95
DTXSID5022061,4-Nitrobenzaldehyde,555-16-8,BXRFQSNOROATLV-UHFFFAOYSA-N,4-Nitrobenzaldehyde,[O-][N+](=O)C1=CC=C(C=O)C=C1,InChI=1S/C7H5NO3/c9-5-6-1-3-7(4-2-6)8(10)11/h1-5H,C7H5NO3,151.121,151.026943,41,54,133,-
DTXSID5022194,Hexyl acrylate,2499-95-8,LNMQRPPRQDGUDR-UHFFFAOYSA-N,Hexyl prop-2-enoate,CCCCCCOC(=O)C=C,"InChI=1S/C9H16O2/c1-3-5-6-7-8-11-9(10)4-2/h4H,2-3,5-8H2,1H3",C9H16O2,156.225,156.1150298,43,-,66,7
DTXSID5022198,3-(3-Pyridyl)-1-propanol,2859-67-8,ZUGAIMFLQLPTKB-UHFFFAOYSA-N,3-(Pyridin-3-yl)propan-1-ol,OCCCC1=CN=CC=C1,"InChI=1S/C8H11NO/c10-6-2-4-8-3-1-5-9-7-8/h1,3,5,7,10H,2,4,6H2",C8H11NO,137.182,137.084064,33,-,64,-
DTXSID5022227,Dimethylaminopropyl chloride hydrochloride,5407-04-5,LJQNMDZRCXJETK-UHFFFAOYSA-N,"3-Chloro-N,N-dimethylpropan-1-amine--hydrogen chloride (1/1)",Cl.CN(C)CCCCl,"InChI=1S/C5H12ClN.ClH/c1-7(2)5-3-4-6;/h3-5H2,1-2H3;1H",C5H13Cl2N,158.07,157.0425048,34,2,87,6
DTXSID5022271,4-(Diethylamino)salicylaldehyde,17754-90-4,XFVZSRRZZNLWBW-UHFFFAOYSA-N,4-(Diethylamino)-2-hydroxybenzaldehyde,CCN(CC)C1=CC=C(C=O)C(O)=C1,"InChI=1S/C11H15NO2/c1-3-12(4-2)10-6-5-9(8-13)11(14)7-10/h5-8,14H,3-4H2,1-2H3",C11H15NO2,193.246,193.1102787,37,-,85,-
DTXSID5022279,"2,6-Diisopropylaniline",24544-04-5,WKBALTUBRZPIPZ-UHFFFAOYSA-N,"2,6-Di(propan-2-yl)aniline",CC(C)C1=CC=CC(C(C)C)=C1N,"InChI=1S/C12H19N/c1-8(2)10-6-5-7-11(9(3)4)12(10)13/h5-9H,13H2,1-4H3",C12H19N,177.291,177.1517496,54,-,88,4
DTXSID5022306,Demeton,8065-48-3,-,-,-,-,-,-,-,40,102,-,34
DTXSID5022308,Genistein,446-72-0,TZBJGXHYKVUXJN-UHFFFAOYSA-N,"5,7-Dihydroxy-3-(4-hydroxyphenyl)-4H-1-benzopyran-4-one",OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",C15H10O5,270.24,270.0528234,85,6077,259,10
DTXSID5022437,Nordihydroguaiaretic acid,500-38-9,HCZKYJDFEPMADG-UHFFFAOYSA-N,"4,4'-(2,3-Dimethylbutane-1,4-diyl)di(benzene-1,2-diol)",CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1,"InChI=1/C18H22O4/c1-11(7-13-3-5-15(19)17(21)9-13)12(2)8-14-4-6-16(20)18(22)10-14/h3-6,9-12,19-22H,7-8H2,1-2H3",C18H22O4,302.37,302.1518092,49,1436,126,1
DTXSID5022439,Phenolphthalin,81-90-3,FFFPYJTVNSSLBQ-UHFFFAOYSA-N,2-[Bis(4-hydroxyphenyl)methyl]benzoic acid,OC(=O)C1=C(C=CC=C1)C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,"InChI=1S/C20H16O4/c21-15-9-5-13(6-10-15)19(14-7-11-16(22)12-8-14)17-3-1-2-4-18(17)20(23)24/h1-12,19,21-22H,(H,23,24)",C20H16O4,320.344,320.104859,42,-,66,-
DTXSID5022481,beta-Sitosterol,83-46-5,KZJWDPNRJALLNS-VJSFXXLFSA-N,(3beta)-Stigmast-5-en-3-ol,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",C29H50O,414.718,414.3861662,50,2175,118,18
DTXSID5022485,"Bis(4-hydroxyphenyl)-2,2-dichloroethylene",14868-03-2,OWEYKIWAZBBXJK-UHFFFAOYSA-N,"4,4'-(2,2-Dichloroethene-1,1-diyl)diphenol",OC1=CC=C(C=C1)C(=C(Cl)Cl)C1=CC=C(O)C=C1,"InChI=1S/C14H10Cl2O2/c15-14(16)13(9-1-5-11(17)6-2-9)10-3-7-12(18)8-4-10/h1-8,17-18H",C14H10Cl2O2,281.13,280.005785,29,-,74,23
DTXSID5022489,E-Cinnamic acid,140-10-3,WBYWAXJHAXSJNI-VOTSOKGWSA-N,(2E)-3-Phenylprop-2-enoic acid,OC(=O)\C=C\C1=CC=CC=C1,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+",C9H8O2,148.161,148.0524295,56,691,147,12
DTXSID5022510,4-Chloro-2-methylphenol,1570-64-5,RHPUJHQBPORFGV-UHFFFAOYSA-N,4-Chloro-2-methylphenol,CC1=C(O)C=CC(Cl)=C1,"InChI=1S/C7H7ClO/c1-5-4-6(8)2-3-7(5)9/h2-4,9H,1H3",C7H7ClO,142.58,142.0185425,74,18,128,18
