	stitch_flat	stitch_stereo	UMLS_label	type	meddra	se_name	pubchem_cid	ukb	ae
200787	CID100034312	CID000034312	C0032231	PT	C0032231	Pleurisy	34312	Non-cancer illness code, self-reported: pleurisy	1
200789	CID100034312	CID000034312	C0032285	PT	C0032285	Pneumonia	34312	Non-cancer illness code, self-reported: pneumonia	1
200791	CID100034312	CID000034312	C0032617	PT	C0032617	Polyuria	34312	Diagnoses - main ICD10: R35 Polyuria	1
200799	CID100034312	CID000034312	C0033774	PT	C0033774	Pruritus	34312	Diagnoses - main ICD10: L29 Pruritus	1
200803	CID100034312	CID000034312	C0033860	PT	C0033860	Psoriasis	34312	Non-cancer illness code, self-reported: psoriasis	1
200822	CID100034312	CID000034312	C0037199	PT	C0037199	Sinusitis	34312	Diagnoses - main ICD10: J32 Chronic sinusitis	1
200830	CID100034312	CID000034312	C0038220	PT	C0038220	Status epilepticus	34312	Non-cancer illness code, self-reported: epilepsy	1
200835	CID100034312	CID000034312	C0038358	PT	C0038358	Gastric ulcer	34312	Diagnoses - main ICD10: K25 Gastric ulcer	1
200844	CID100034312	CID000034312	C0039070	PT	C0039070	Syncope	34312	Diagnoses - main ICD10: R55 Syncope and collapse	1
200852	CID100034312	CID000034312	C0040034	PT	C0040034	Thrombocytopenia	34312	Thrombocytopenia, unspecified	1
200866	CID100034312	CID000034312	C0042109	PT	C0042109	Urticaria	34312	Non-cancer illness code, self-reported: urticaria	1
200873	CID100034312	CID000034312	C0042571	PT	C0042571	Vertigo	34312	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
200875	CID100034312	CID000034312	C0042769	PT	C0042769	Viral infection	34312	Diagnoses - main ICD10: B34 Viral infection of unspecified site	1
200887	CID100034312	CID000034312	C0043349	PT	C0043349	Xerophthalmia	34312	Non-cancer illness code, self-reported: dry eyes	1
200901	CID100034312	CID000034312	C0085633	PT	C0085633	Mood swings	34312	Mood swings	1
200912	CID100034312	CID000034312	C0086543	PT	C0086543	Cataract	34312	Non-cancer illness code, self-reported: cataract	1
200914	CID100034312	CID000034312	C0149931	PT	C0149931	Migraine	34312	Non-cancer illness code, self-reported: migraine	1
200937	CID100034312	CID000034312	C0152031	PT	C0152031	Joint swelling	34312	Non-cancer illness code, self-reported: joint pain	1
200956	CID100034312	CID000034312	C0231528	PT	C0231528	Myalgia	34312	Myalgia	1
200999	CID100034312	CID000034312	C0267792	PT	C0267792	Hepatobiliary disease	34312	Diseases of liver	1
201046	CID100034312	CID000034312	C0702166	PT	C0702166	Acne	34312	Non-cancer illness code, self-reported: acne/acne vulgaris	1
201066	CID100034312	CID000034312	C0917801	PT	C0917801	Insomnia	34312	Non-cancer illness code, self-reported: insomnia	1
201080	CID100034312	CID000034312	C2937358	PT	C2937358	Cerebral haemorrhage	34312	Diagnoses - main ICD10: I61 Intracerebral haemorrhage	1
201088	CID100036339	CID000036339	C0003811	PT	C0003811	Arrhythmia	36339	Non-cancer illness code, self-reported: heart arrhythmia	1
201092	CID100036339	CID000036339	C0020538	PT	C0020538	Hypertension	36339	Non-cancer illness code, self-reported: hypertension	1
201096	CID100036339	CID000036339	C0020649	PT	C0020649	Hypotension	36339	Diagnoses - main ICD10: I95 Hypotension	1
201098	CID100036339	CID000036339	C0023066	PT	C0023066	Laryngospasm	36339	Non-cancer illness code, self-reported: asthma	1
201102	CID100036339	CID000036339	C0030193	PT	C0030193	Pain	36339	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
201138	CID100036523	CID000036523	C0009806	PT	C0009806	Constipation	36523	Non-cancer illness code, self-reported: constipation	1
201151	CID100036523	CID000036523	C0017178	PT	C0017178	Gastrointestinal disorder	36523	Non-cancer illness code, self-reported: stomach disorder	1
201153	CID100036523	CID000036523	C0018681	PT	C0018681	Headache	36523	Diagnoses - main ICD10: R51 Headache	1
201171	CID100036523	CID000036523	C0027765	PT	C0027765	Nervous system disorder	36523	Diseases of the nervous system	1
201177	CID100036523	CID000036523	C0030193	PT	C0030193	Pain	36523	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
201183	CID100036523	CID000036523	C0033774	PT	C0033774	Pruritus	36523	Diagnoses - main ICD10: L29 Pruritus	1
201222	CID100036811	CID000036811	C0002962	PT	C0002962	Angina pectoris	36811	Non-cancer illness code, self-reported: angina	1
201224	CID100036811	CID000036811	C0008031	PT	C0008031	Chest pain	36811	Chest pain or discomfort	1
201228	CID100036811	CID000036811	C0018681	PT	C0018681	Headache	36811	Diagnoses - main ICD10: R51 Headache	1
201232	CID100036811	CID000036811	C0020649	PT	C0020649	Hypotension	36811	Diagnoses - main ICD10: I95 Hypotension	1
201238	CID100036811	CID000036811	C0031542	PT	C0031542	Phlebitis	36811	Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	1
201240	CID100036811	CID000036811	C0033774	PT	C0033774	Pruritus	36811	Diagnoses - main ICD10: L29 Pruritus	1
201244	CID100036811	CID000036811	C0040034	PT	C0040034	Thrombocytopenia	36811	Thrombocytopenia, unspecified	1
201264	CID100037392	CID000037392	C0003811	PT	C0003811	Arrhythmia	37392	Non-cancer illness code, self-reported: heart arrhythmia	1
201266	CID100037392	CID000037392	C0003862	PT	C0003862	Arthralgia	37392	Non-cancer illness code, self-reported: joint pain	1
201271	CID100037392	CID000037392	C0004604	PT	C0004604	Back pain	37392	Dorsalgia	1
201273	CID100037392	CID000037392	C0008031	PT	C0008031	Chest pain	37392	Chest pain or discomfort	1
201278	CID100037392	CID000037392	C0009806	PT	C0009806	Constipation	37392	Non-cancer illness code, self-reported: constipation	1
201280	CID100037392	CID000037392	C0010200	PT	C0010200	Cough	37392	Diagnoses - main ICD10: R05 Cough	1
201286	CID100037392	CID000037392	C0013395	PT	C0013395	Dyspepsia	37392	Diagnoses - main ICD10: K30 Dyspepsia	1
201288	CID100037392	CID000037392	C0015230	PT	C0015230	Rash	37392	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
201294	CID100037392	CID000037392	C0018681	PT	C0018681	Headache	37392	Diagnoses - main ICD10: R51 Headache	1
201306	CID100037392	CID000037392	C0033774	PT	C0033774	Pruritus	37392	Diagnoses - main ICD10: L29 Pruritus	1
201314	CID100037392	CID000037392	C0038454	PT	C0038454	Cerebrovascular accident	37392	STROKE	1
201322	CID100037392	CID000037392	C0042109	PT	C0042109	Urticaria	37392	Non-cancer illness code, self-reported: urticaria	1
201333	CID100037392	CID000037392	C0231528	PT	C0231528	Myalgia	37392	Myalgia	1
201351	CID100037392	CID000037392	C0851578	PT	C0851578	Sleep disorder	37392	Diagnoses - main ICD10: G47 Sleep disorders	1
201365	CID100037720	CID000037720	C0002871	PT	C0002871	Anaemia	37720	Non-cancer illness code, self-reported: anaemia	1
201367	CID100037720	CID000037720	C0002962	PT	C0002962	Angina pectoris	37720	Non-cancer illness code, self-reported: angina	1
201371	CID100037720	CID000037720	C0003862	PT	C0003862	Arthralgia	37720	Non-cancer illness code, self-reported: joint pain	1
201380	CID100037720	CID000037720	C0009806	PT	C0009806	Constipation	37720	Non-cancer illness code, self-reported: constipation	1
201384	CID100037720	CID000037720	C0011570	PT	C0011570	Depression	37720	Non-cancer illness code, self-reported: depression	1
201390	CID100037720	CID000037720	C0013395	PT	C0013395	Dyspepsia	37720	Diagnoses - main ICD10: K30 Dyspepsia	1
201400	CID100037720	CID000037720	C0014868	PT	C0014868	Oesophagitis	37720	Diagnoses - main ICD10: K20 Oesophagitis	1
201402	CID100037720	CID000037720	C0015230	PT	C0015230	Rash	37720	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
201411	CID100037720	CID000037720	C0018681	PT	C0018681	Headache	37720	Diagnoses - main ICD10: R51 Headache	1
201413	CID100037720	CID000037720	C0018965	PT	C0018965	Haematuria	37720	Diagnoses - main ICD10: R31 Unspecified haematuria	1
201417	CID100037720	CID000037720	C0022346	PT	C0022346	Jaundice	37720	Diagnoses - main ICD10: R17 Unspecified jaundice	1
201437	CID100037720	CID000037720	C0033774	PT	C0033774	Pruritus	37720	Diagnoses - main ICD10: L29 Pruritus	1
201443	CID100037720	CID000037720	C0037199	PT	C0037199	Sinusitis	37720	Diagnoses - main ICD10: J32 Chronic sinusitis	1
201445	CID100037720	CID000037720	C0038525	PT	C0038525	Subarachnoid haemorrhage	37720	Diagnoses - main ICD10: I60 Subarachnoid haemorrhage	1
201449	CID100037720	CID000037720	C0040034	PT	C0040034	Thrombocytopenia	37720	Thrombocytopenia, unspecified	1
201456	CID100037720	CID000037720	C0042109	PT	C0042109	Urticaria	37720	Non-cancer illness code, self-reported: urticaria	1
201470	CID100037720	CID000037720	C0085633	PT	C0085633	Mood swings	37720	Mood swings	1
201485	CID100037720	CID000037720	C0231528	PT	C0231528	Myalgia	37720	Myalgia	1
201494	CID100037720	CID000037720	C0376358	PT	C0376358	Prostate cancer	37720	Malignant neoplasm of prostate	1
201496	CID100037720	CID000037720	C0423153	PT	C0152227	Lacrimation increased	37720	Epiphora	1
201505	CID100037720	CID000037720	C0917801	PT	C0917801	Insomnia	37720	Non-cancer illness code, self-reported: insomnia	1
201516	CID100038904	CID000038904	C0002871	PT	C0002871	Anaemia	38904	Non-cancer illness code, self-reported: anaemia	1
201518	CID100038904	CID000038904	C0002962	PT	C0002962	Angina pectoris	38904	Non-cancer illness code, self-reported: angina	1
201522	CID100038904	CID000038904	C0003862	PT	C0003862	Arthralgia	38904	Non-cancer illness code, self-reported: joint pain	1
201529	CID100038904	CID000038904	C0006826	PT	C0006826	Neoplasm malignant	38904	Neoplasms	1
201535	CID100038904	CID000038904	C0009806	PT	C0009806	Constipation	38904	Non-cancer illness code, self-reported: constipation	1
201543	CID100038904	CID000038904	C0012797	PT	C0032617	Polyuria	38904	Diagnoses - main ICD10: R35 Polyuria	1
201553	CID100038904	CID000038904	C0015230	PT	C0015230	Rash	38904	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
201569	CID100038904	CID000038904	C0018801	PT	C0018801	Cardiac failure	38904	Heart failure	1
201578	CID100038904	CID000038904	C0020538	PT	C0020538	Hypertension	38904	Non-cancer illness code, self-reported: hypertension	1
201586	CID100038904	CID000038904	C0020649	PT	C0020649	Hypotension	38904	Diagnoses - main ICD10: I95 Hypotension	1
201588	CID100038904	CID000038904	C0022660	PT	C0022660	Renal failure acute	38904	Diagnoses - main ICD10: N17 Acute renal failure	1
201596	CID100038904	CID000038904	C0027051	PT	C0027051	Myocardial infarction	38904	Myocardial infarction	1
201603	CID100038904	CID000038904	C0027947	PT	C0027947	Neutropenia	38904	Diagnoses - main ICD10: D70 Agranulocytosis	1
201605	CID100038904	CID000038904	C0030193	PT	C0030193	Pain	38904	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
201609	CID100038904	CID000038904	C0031117	PT	C0031117	Neuropathy peripheral	38904	Non-cancer illness code, self-reported: peripheral neuropathy	1
201611	CID100038904	CID000038904	C0033774	PT	C0033774	Pruritus	38904	Diagnoses - main ICD10: L29 Pruritus	1
201615	CID100038904	CID000038904	C0038454	PT	C0038454	Cerebrovascular accident	38904	STROKE	1
201621	CID100038904	CID000038904	C0040034	PT	C0040034	Thrombocytopenia	38904	Thrombocytopenia, unspecified	1
201625	CID100038904	CID000038904	C0042109	PT	C0042109	Urticaria	38904	Non-cancer illness code, self-reported: urticaria	1
201635	CID100038904	CID000038904	C0151313	PT	C0151313	Peripheral sensory neuropathy	38904	Non-cancer illness code, self-reported: peripheral neuropathy	1
201666	CID100038904	CID000038904	C0231528	PT	C0231528	Myalgia	38904	Myalgia	1
201734	CID100039042	CID000039042	C0002871	PT	C0002871	Anaemia	39042	Non-cancer illness code, self-reported: anaemia	1
201736	CID100039042	CID000039042	C0006277	PT	C0006277	Bronchitis	39042	Bronchitis	1
201738	CID100039042	CID000039042	C0008350	PT	C0008350	Cholelithiasis	39042	Diagnoses - main ICD10: K80 Cholelithiasis	1
201744	CID100039042	CID000039042	C0009806	PT	C0009806	Constipation	39042	Non-cancer illness code, self-reported: constipation	1
201750	CID100039042	CID000039042	C0013395	PT	C0013395	Dyspepsia	39042	Diagnoses - main ICD10: K30 Dyspepsia	1
201752	CID100039042	CID000039042	C0013595	PT	C0013595	Eczema	39042	Eczema	1
201756	CID100039042	CID000039042	C0015230	PT	C0015230	Rash	39042	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
201763	CID100039042	CID000039042	C0018681	PT	C0018681	Headache	39042	Diagnoses - main ICD10: R51 Headache	1
201769	CID100039042	CID000039042	C0022660	PT	C0022660	Renal failure acute	39042	Diagnoses - main ICD10: N17 Acute renal failure	1
201773	CID100039042	CID000039042	C0027051	PT	C0027051	Myocardial infarction	39042	Myocardial infarction	1
201780	CID100039042	CID000039042	C0030193	PT	C0030193	Pain	39042	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
201786	CID100039042	CID000039042	C0033774	PT	C0033774	Pruritus	39042	Diagnoses - main ICD10: L29 Pruritus	1
201798	CID100039042	CID000039042	C0040034	PT	C0040034	Thrombocytopenia	39042	Thrombocytopenia, unspecified	1
201805	CID100039042	CID000039042	C0042109	PT	C0042109	Urticaria	39042	Non-cancer illness code, self-reported: urticaria	1
201807	CID100039042	CID000039042	C0149931	PT	C0149931	Migraine	39042	Non-cancer illness code, self-reported: migraine	1
201823	CID100039042	CID000039042	C0231528	PT	C0231528	Myalgia	39042	Myalgia	1
201834	CID100039042	CID000039042	C0917801	PT	C0917801	Insomnia	39042	Non-cancer illness code, self-reported: insomnia	1
201844	CID100039507	CID000039507	C0015403	PT	C0015403	Eye infection	39507	Non-cancer illness code, self-reported: eye infection	1
201846	CID100039507	CID000039507	C0018681	PT	C0018681	Headache	39507	Diagnoses - main ICD10: R51 Headache	1
201852	CID100039507	CID000039507	C0020649	PT	C0020649	Hypotension	39507	Diagnoses - main ICD10: I95 Hypotension	1
201858	CID100039507	CID000039507	C0033774	PT	C0033774	Pruritus	39507	Diagnoses - main ICD10: L29 Pruritus	1
201876	CID100039507	CID000039507	C0314719	PT	C0314719	Dry eye	39507	Non-cancer illness code, self-reported: dry eyes	1
201882	CID100039507	CID000039507	C0423153	PT	C0152227	Lacrimation increased	39507	Epiphora	1
201960	CID100039524	CID005311454	C0015230	PT	C0015230	Rash	39524	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
201968	CID100039524	CID005311454	C0017178	PT	C0017178	Gastrointestinal disorder	39524	Non-cancer illness code, self-reported: stomach disorder	1
201970	CID100039524	CID005311454	C0022107	PT	C0022107	Irritability	39524	Irritability	1
201977	CID100039524	CID005311454	C0027765	PT	C0027765	Nervous system disorder	39524	Diseases of the nervous system	1
201979	CID100039524	CID005311454	C0027947	PT	C0027947	Neutropenia	39524	Diagnoses - main ICD10: D70 Agranulocytosis	1
201981	CID100039524	CID005311454	C0040034	PT	C0040034	Thrombocytopenia	39524	Thrombocytopenia, unspecified	1
201983	CID100039524	CID005311454	C0042109	PT	C0042109	Urticaria	39524	Non-cancer illness code, self-reported: urticaria	1
202003	CID100039524	CID005311454	C0851578	PT	C0851578	Sleep disorder	39524	Diagnoses - main ICD10: G47 Sleep disorders	1
202005	CID100039524	CID005311454	C0917801	PT	C0917801	Insomnia	39524	Non-cancer illness code, self-reported: insomnia	1
202019	CID100039764	CID000039764	C0015230	PT	C0015230	Rash	39764	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
202028	CID100039764	CID000039764	C0020649	PT	C0020649	Hypotension	39764	Diagnoses - main ICD10: I95 Hypotension	1
202036	CID100039764	CID000039764	C0026848	PT	C0026848	Myopathy	39764	Disorders of muscles	1
202038	CID100039764	CID000039764	C0027765	PT	C0027765	Nervous system disorder	39764	Diseases of the nervous system	1
202048	CID100039764	CID000039764	C0042109	PT	C0042109	Urticaria	39764	Non-cancer illness code, self-reported: urticaria	1
202097	CID100039860	CID000039860	C0002871	PT	C0002871	Anaemia	39860	Non-cancer illness code, self-reported: anaemia	1
202105	CID100039860	CID000039860	C0003811	PT	C0003811	Arrhythmia	39860	Non-cancer illness code, self-reported: heart arrhythmia	1
202107	CID100039860	CID000039860	C0003862	PT	C0003862	Arthralgia	39860	Non-cancer illness code, self-reported: joint pain	1
202114	CID100039860	CID000039860	C0004604	PT	C0004604	Back pain	39860	Dorsalgia	1
202118	CID100039860	CID000039860	C0007859	PT	C0007859	Neck pain	39860	Cervicalgia	1
202120	CID100039860	CID000039860	C0008031	PT	C0008031	Chest pain	39860	Chest pain or discomfort	1
202129	CID100039860	CID000039860	C0009806	PT	C0009806	Constipation	39860	Non-cancer illness code, self-reported: constipation	1
202131	CID100039860	CID000039860	C0010200	PT	C0010200	Cough	39860	Diagnoses - main ICD10: R05 Cough	1
202135	CID100039860	CID000039860	C0011570	PT	C0011570	Depression	39860	Non-cancer illness code, self-reported: depression	1
202143	CID100039860	CID000039860	C0013395	PT	C0013395	Dyspepsia	39860	Diagnoses - main ICD10: K30 Dyspepsia	1
202149	CID100039860	CID000039860	C0015230	PT	C0015230	Rash	39860	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
202167	CID100039860	CID000039860	C0018681	PT	C0018681	Headache	39860	Diagnoses - main ICD10: R51 Headache	1
202171	CID100039860	CID000039860	C0020538	PT	C0020538	Hypertension	39860	Non-cancer illness code, self-reported: hypertension	1
202173	CID100039860	CID000039860	C0020649	PT	C0020649	Hypotension	39860	Diagnoses - main ICD10: I95 Hypotension	1
202180	CID100039860	CID000039860	C0022107	PT	C0022107	Irritability	39860	Irritability	1
202201	CID100039860	CID000039860	C0030193	PT	C0030193	Pain	39860	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
202211	CID100039860	CID000039860	C0033774	PT	C0033774	Pruritus	39860	Diagnoses - main ICD10: L29 Pruritus	1
202221	CID100039860	CID000039860	C0037317	PT	C0851578	Sleep disorder	39860	Diagnoses - main ICD10: G47 Sleep disorders	1
202227	CID100039860	CID000039860	C0038454	PT	C0038454	Cerebrovascular accident	39860	STROKE	1
202232	CID100039860	CID000039860	C0039070	PT	C0039070	Syncope	39860	Diagnoses - main ICD10: R55 Syncope and collapse	1
202246	CID100039860	CID000039860	C0042571	PT	C0042571	Vertigo	39860	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
202254	CID100039860	CID000039860	C0080274	PT	C0080274	Urinary retention	39860	Diagnoses - main ICD10: R33 Retention of urine	1
202264	CID100039860	CID000039860	C0085633	PT	C0085633	Mood swings	39860	Mood swings	1
202274	CID100039860	CID000039860	C0151610	PT	C0040409	Tongue disorder	39860	Diagnoses - main ICD10: K14 Diseases of tongue	1
202285	CID100039860	CID000039860	C0231528	PT	C0231528	Myalgia	39860	Myalgia	1
202329	CID100039860	CID000039860	C0314719	PT	C0314719	Dry eye	39860	Non-cancer illness code, self-reported: dry eyes	1
202335	CID100039860	CID000039860	C0349231	PT	C0349231	Phobia	39860	Anxiety disorders	1
202364	CID100039860	CID000039860	C0917801	PT	C0917801	Insomnia	39860	Non-cancer illness code, self-reported: insomnia	1
202380	CID100040159	CID000040326	C0015230	PT	C0015230	Rash	40159	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
202385	CID100040159	CID000040326	C0018681	PT	C0018681	Headache	40159	Diagnoses - main ICD10: R51 Headache	1
202392	CID100040159	CID000040326	C0033774	PT	C0033774	Pruritus	40159	Diagnoses - main ICD10: L29 Pruritus	1
202398	CID100040159	CID000040326	C0677500	PT	C0030193	Pain	40159	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
202409	CID100040632	CID000040632	C0003862	PT	C0003862	Arthralgia	40632	Non-cancer illness code, self-reported: joint pain	1
202420	CID100040632	CID000040632	C0009806	PT	C0009806	Constipation	40632	Non-cancer illness code, self-reported: constipation	1
202422	CID100040632	CID000040632	C0010200	PT	C0010200	Cough	40632	Diagnoses - main ICD10: R05 Cough	1
202430	CID100040632	CID000040632	C0013395	PT	C0013395	Dyspepsia	40632	Diagnoses - main ICD10: K30 Dyspepsia	1
202434	CID100040632	CID000040632	C0015230	PT	C0015230	Rash	40632	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
202444	CID100040632	CID000040632	C0017168	PT	C0017168	Gastrooesophageal reflux disease	40632	Diagnoses - main ICD10: K21 Gastro-oesophageal reflux disease	1
202446	CID100040632	CID000040632	C0017178	PT	C0017178	Gastrointestinal disorder	40632	Non-cancer illness code, self-reported: stomach disorder	1
202448	CID100040632	CID000040632	C0018681	PT	C0018681	Headache	40632	Diagnoses - main ICD10: R51 Headache	1
202454	CID100040632	CID000040632	C0027765	PT	C0027765	Nervous system disorder	40632	Diseases of the nervous system	1
202458	CID100040632	CID000040632	C0033774	PT	C0033774	Pruritus	40632	Diagnoses - main ICD10: L29 Pruritus	1
202491	CID100040632	CID000040632	C0231528	PT	C0231528	Myalgia	40632	Myalgia	1
202506	CID100040632	CID000040632	C0267792	PT	C0267792	Hepatobiliary disease	40632	Diseases of liver	1
202517	CID100040632	CID000040632	C0917801	PT	C0917801	Insomnia	40632	Non-cancer illness code, self-reported: insomnia	1
202525	CID100040703	CID000040703	C0009806	PT	C0009806	Constipation	40703	Non-cancer illness code, self-reported: constipation	1
202531	CID100040703	CID000040703	C0018681	PT	C0018681	Headache	40703	Diagnoses - main ICD10: R51 Headache	1
202533	CID100040703	CID000040703	C0018834	PT	C0013395	Dyspepsia	40703	Diagnoses - main ICD10: K30 Dyspepsia	1
202539	CID100040703	CID000040703	C0042571	PT	C0042571	Vertigo	40703	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
202552	CID100040973	CID000040973	C0006142	PT	C0006142	Breast cancer	40973	Breast Cancer	1
202565	CID100040973	CID000040973	C0015230	PT	C0015230	Rash	40973	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
202570	CID100040973	CID000040973	C0017178	PT	C0017178	Gastrointestinal disorder	40973	Non-cancer illness code, self-reported: stomach disorder	1
202572	CID100040973	CID000040973	C0018681	PT	C0018681	Headache	40973	Diagnoses - main ICD10: R51 Headache	1
202578	CID100040973	CID000040973	C0020538	PT	C0020538	Hypertension	40973	Non-cancer illness code, self-reported: hypertension	1
202593	CID100040973	CID000040973	C0027651	PT	C0027651	Neoplasm	40973	Neoplasms	1
202595	CID100040973	CID000040973	C0027765	PT	C0027765	Nervous system disorder	40973	Diseases of the nervous system	1
202597	CID100040973	CID000040973	C0042109	PT	C0042109	Urticaria	40973	Non-cancer illness code, self-reported: urticaria	1
202605	CID100040973	CID000040973	C0085633	PT	C0085633	Mood swings	40973	Mood swings	1
202608	CID100040973	CID000040973	C0086543	PT	C0086543	Cataract	40973	Non-cancer illness code, self-reported: cataract	1
202612	CID100040973	CID000040973	C0149931	PT	C0149931	Migraine	40973	Non-cancer illness code, self-reported: migraine	1
202626	CID100040973	CID000040973	C0344315	PT	C0344315	Depressed mood	40973	Non-cancer illness code, self-reported: depression	1
202628	CID100040973	CID000040973	C2225524	PT	C2225524	Breast enlargement	40973	Diagnoses - main ICD10: N62 Hypertrophy of breast	1
202643	CID100040976	CID000040976	C0003862	PT	C0003862	Arthralgia	40976	Non-cancer illness code, self-reported: joint pain	1
202648	CID100040976	CID000040976	C0004096	PT	C0004096	Asthma	40976	Non-cancer illness code, self-reported: asthma	1
202650	CID100040976	CID000040976	C0004604	PT	C0004604	Back pain	40976	Dorsalgia	1
202654	CID100040976	CID000040976	C0006142	PT	C0006142	Breast cancer	40976	Breast Cancer	1
202656	CID100040976	CID000040976	C0009806	PT	C0009806	Constipation	40976	Non-cancer illness code, self-reported: constipation	1
202660	CID100040976	CID000040976	C0010200	PT	C0010200	Cough	40976	Diagnoses - main ICD10: R05 Cough	1
202665	CID100040976	CID000040976	C0011570	PT	C0011570	Depression	40976	Non-cancer illness code, self-reported: depression	1
202673	CID100040976	CID000040976	C0013395	PT	C0013395	Dyspepsia	40976	Diagnoses - main ICD10: K30 Dyspepsia	1
202675	CID100040976	CID000040976	C0013428	PT	C0013428	Dysuria	40976	Diagnoses - main ICD10: R30 Pain associated with micturition	1
202679	CID100040976	CID000040976	C0015230	PT	C0015230	Rash	40976	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
202693	CID100040976	CID000040976	C0018681	PT	C0018681	Headache	40976	Diagnoses - main ICD10: R51 Headache	1
202704	CID100040976	CID000040976	C0020538	PT	C0020538	Hypertension	40976	Non-cancer illness code, self-reported: hypertension	1
202720	CID100040976	CID000040976	C0027651	PT	C0027651	Neoplasm	40976	Neoplasms	1
202725	CID100040976	CID000040976	C0029882	PT	C0029882	Otitis media	40976	Otitis media, unspecified	1
202729	CID100040976	CID000040976	C0030193	PT	C0030193	Pain	40976	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
202737	CID100040976	CID000040976	C0033774	PT	C0033774	Pruritus	40976	Diagnoses - main ICD10: L29 Pruritus	1
202745	CID100040976	CID000040976	C0037199	PT	C0037199	Sinusitis	40976	Diagnoses - main ICD10: J32 Chronic sinusitis	1
202753	CID100040976	CID000040976	C0042109	PT	C0042109	Urticaria	40976	Non-cancer illness code, self-reported: urticaria	1
202758	CID100040976	CID000040976	C0042345	PT	C0042345	Varicose vein	40976	Non-cancer illness code, self-reported: varicose veins	1
202766	CID100040976	CID000040976	C0085633	PT	C0085633	Mood swings	40976	Mood swings	1
202771	CID100040976	CID000040976	C0149931	PT	C0149931	Migraine	40976	Non-cancer illness code, self-reported: migraine	1
202778	CID100040976	CID000040976	C0151825	PT	C0151825	Bone pain	40976	Non-cancer illness code, self-reported: joint pain	1
202782	CID100040976	CID000040976	C0231528	PT	C0231528	Myalgia	40976	Myalgia	1
202810	CID100040976	CID000040976	C0702166	PT	C0702166	Acne	40976	Non-cancer illness code, self-reported: acne/acne vulgaris	1
202812	CID100040976	CID000040976	C0917801	PT	C0917801	Insomnia	40976	Non-cancer illness code, self-reported: insomnia	1
202816	CID100040976	CID000040976	C1305875	PT	C0178421	Fibroadenoma of breast	40976	Diagnoses - main ICD10: D24 Benign neoplasm of breast	1
202818	CID100040976	CID000040976	C2225524	PT	C2225524	Breast enlargement	40976	Diagnoses - main ICD10: N62 Hypertrophy of breast	1
202881	CID100040976	CID006917715	C0017178	PT	C0017178	Gastrointestinal disorder	40976	Non-cancer illness code, self-reported: stomach disorder	1
202903	CID100040976	CID006917715	C0023895	PT	C0023895	Liver disorder	40976	Diseases of liver	1
202914	CID100040976	CID006917715	C0027765	PT	C0027765	Nervous system disorder	40976	Diseases of the nervous system	1
202991	CID100040976	CID006917715	C0344315	PT	C0344315	Depressed mood	40976	Non-cancer illness code, self-reported: depression	1
203043	CID100041317	CID005284513	C0003862	PT	C0003862	Arthralgia	41317	Non-cancer illness code, self-reported: joint pain	1
203046	CID100041317	CID005284513	C0003864	PT	C0003864	Arthritis	41317	Non-cancer illness code, self-reported: arthritis (nos)	1
203048	CID100041317	CID005284513	C0004604	PT	C0004604	Back pain	41317	Dorsalgia	1
203054	CID100041317	CID005284513	C0005940	PT	C0005940	Bone disorder	41317	Non-cancer illness code, self-reported: bone disorder	1
203056	CID100041317	CID005284513	C0006840	PT	C0006840	Candida infection	41317	Diagnoses - main ICD10: B37 Candidiasis	1
203062	CID100041317	CID005284513	C0008031	PT	C0008031	Chest pain	41317	Chest pain or discomfort	1
203070	CID100041317	CID005284513	C0009806	PT	C0009806	Constipation	41317	Non-cancer illness code, self-reported: constipation	1
203074	CID100041317	CID005284513	C0010200	PT	C0010200	Cough	41317	Diagnoses - main ICD10: R05 Cough	1
203087	CID100041317	CID005284513	C0011570	PT	C0011570	Depression	41317	Non-cancer illness code, self-reported: depression	1
203095	CID100041317	CID005284513	C0011849	PT	C0011849	Diabetes mellitus	41317	Non-cancer illness code, self-reported: diabetes	1
